,sepal.length,sepal.width,petal.length,petal.width,variety
50,7.0,3.2,4.7,1.4,Versicolor
51,6.4,3.2,4.5,1.5,Versicolor
52,6.9,3.1,4.9,1.5,Versicolor
53,5.5,2.3,4.0,1.3,Versicolor
54,6.5,2.8,4.6,1.5,Versicolor
55,5.7,2.8,4.5,1.3,Versicolor
56,6.3,3.3,4.7,1.6,Versicolor
57,4.9,2.4,3.3,1.0,Versicolor
58,6.6,2.9,4.6,1.3,Versicolor
59,5.2,2.7,3.9,1.4,Versicolor
60,5.0,2.0,3.5,1.0,Versicolor
61,5.9,3.0,4.2,1.5,Versicolor
62,6.0,2.2,4.0,1.0,Versicolor
63,6.1,2.9,4.7,1.4,Versicolor
64,5.6,2.9,3.6,1.3,Versicolor
65,6.7,3.1,4.4,1.4,Versicolor
66,5.6,3.0,4.5,1.5,Versicolor
67,5.8,2.7,4.1,1.0,Versicolor
68,6.2,2.2,4.5,1.5,Versicolor
69,5.6,2.5,3.9,1.1,Versicolor
70,5.9,3.2,4.8,1.8,Versicolor
71,6.1,2.8,4.0,1.3,Versicolor
72,6.3,2.5,4.9,1.5,Versicolor
73,6.1,2.8,4.7,1.2,Versicolor
74,6.4,2.9,4.3,1.3,Versicolor
75,6.6,3.0,4.4,1.4,Versicolor
76,6.8,2.8,4.8,1.4,Versicolor
77,6.7,3.0,5.0,1.7,Versicolor
78,6.0,2.9,4.5,1.5,Versicolor
79,5.7,2.6,3.5,1.0,Versicolor
80,5.5,2.4,3.8,1.1,Versicolor
81,5.5,2.4,3.7,1.0,Versicolor
82,5.8,2.7,3.9,1.2,Versicolor
83,6.0,2.7,5.1,1.6,Versicolor
84,5.4,3.0,4.5,1.5,Versicolor
85,6.0,3.4,4.5,1.6,Versicolor
86,6.7,3.1,4.7,1.5,Versicolor
87,6.3,2.3,4.4,1.3,Versicolor
88,5.6,3.0,4.1,1.3,Versicolor
89,5.5,2.5,4.0,1.3,Versicolor
90,5.5,2.6,4.4,1.2,Versicolor
91,6.1,3.0,4.6,1.4,Versicolor
92,5.8,2.6,4.0,1.2,Versicolor
93,5.0,2.3,3.3,1.0,Versicolor
94,5.6,2.7,4.2,1.3,Versicolor
95,5.7,3.0,4.2,1.2,Versicolor
96,5.7,2.9,4.2,1.3,Versicolor
97,6.2,2.9,4.3,1.3,Versicolor
98,5.1,2.5,3.0,1.1,Versicolor
99,5.7,2.8,4.1,1.3,Versicolor
